Rank,Neighborhood,Word,Topic
0,Cascade,lake,no_topic
1,Cascade,union,no_topic
2,Cascade,you’ll,topic_5
3,Cascade,equip,topic_5
4,Cascade,offer,topic_3
5,Cascade,space,topic_2
6,Cascade,view,topic_3
7,Cascade,fulli,topic_5
8,Cascade,downtown,topic_2
9,Cascade,blueground,topic_5
10,Cascade,furnish,topic_5
11,Cascade,south,no_topic
12,Cascade,love,topic_5
13,Cascade,park,topic_2
14,Cascade,mattress,topic_5
15,Cascade,walk,topic_2
16,Cascade,includ,topic_3
17,Cascade,amen,topic_5
18,Cascade,linen,topic_1
19,Cascade,needl,topic_4
20,Cascade,minut,topic_2
21,Cascade,clean,topic_1
22,Cascade,enjoi,topic_3
23,Cascade,design,topic_3
24,Cascade,you’r,topic_5
25,Cascade,laundri,topic_5
26,Cascade,premium,topic_5
27,Cascade,privat,topic_2
28,Cascade,towel,topic_5
29,Cascade,citi,topic_3
0,Northgate,space,topic_2
1,Northgate,park,topic_2
2,Northgate,privat,topic_2
3,Northgate,minut,topic_2
4,Northgate,walk,topic_2
5,Northgate,quiet,no_topic
6,Northgate,downtown,topic_2
7,Northgate,area,topic_2
8,Northgate,queen,topic_2
9,Northgate,share,topic_2
10,Northgate,size,topic_2
11,Northgate,access,topic_2
12,Northgate,free,no_topic
13,Northgate,neighborhood,topic_2
14,Northgate,northgat,no_topic
15,Northgate,comfort,topic_3
16,Northgate,north,no_topic
17,Northgate,clean,topic_1
18,Northgate,awai,topic_1
19,Northgate,bu,topic_2
20,Northgate,enjoi,topic_3
21,Northgate,floor,topic_2
22,Northgate,close,no_topic
23,Northgate,min,topic_2
24,Northgate,mile,no_topic
25,Northgate,opli,topic_4
26,Northgate,provid,topic_1
27,Northgate,numberstr,no_topic
28,Northgate,desk,no_topic
29,Northgate,dine,topic_3
0,Delridge,privat,topic_2
1,Delridge,min,topic_2
2,Delridge,park,topic_2
3,Delridge,space,topic_2
4,Delridge,downtown,topic_2
5,Delridge,west,no_topic
6,Delridge,walk,topic_2
7,Delridge,drive,no_topic
8,Delridge,access,topic_2
9,Delridge,share,topic_2
10,Delridge,minut,topic_2
11,Delridge,beach,no_topic
12,Delridge,larg,topic_2
13,Delridge,coffe,topic_2
14,Delridge,size,topic_2
15,Delridge,shop,topic_4
16,Delridge,place,topic_4
17,Delridge,bu,topic_2
18,Delridge,area,topic_2
19,Delridge,queen,topic_2
20,Delridge,free,no_topic
21,Delridge,street,topic_2
22,Delridge,enjoi,topic_3
23,Delridge,floor,topic_2
24,Delridge,high,topic_3
25,Delridge,avail,no_topic
26,Delridge,includ,topic_3
27,Delridge,restaur,topic_2
28,Delridge,alki,no_topic
29,Delridge,internet,no_topic
