Title,Coordinates,Reviews,Review_Points,Address,Website,Phone,Category
A Sound Garden by Douglas Hollis,"47.68565569048947, -122.2490482370384",101 reviews,4.2,"7600 Sand Point Way NE, Seattle, WA 98115",seattle.gov,Not Available,Sculpture
Airport Playground at Magnuson Park,"47.681989265242954, -122.2576847597763",58 reviews,4.6,"The Brig, NE 74th St, Seattle, WA 98115",seattle.gov,(206) 684-4946,Playground
11th Avenue NW Street End Park,"47.65983440832136, -122.37030907511918",10 reviews,4.7,"11th Avenue Northwest Street End, 11th Ave NW, Seattle, WA 98107",seattle.gov,(206) 386-4575,Park
12th Ave. S Viewpoint,"47.57806492991783, -122.31743767272148",152 reviews,4.3,"2821 12th Ave S, Seattle, WA 98144",seattle.gov,(206) 684-4075,Park
12th Ave. Square Park,"47.60741211542865, -122.31582245792956",10 reviews,3.7,"564 12th Ave, Seattle, WA 98122",seattle.gov,(206) 684-4075,Park
12th West & West Howe Park,"47.63648135642359, -122.3732512592266",17 reviews,4.5,"1200 W Howe St, Seattle, WA 98119",seattle.gov,(206) 684-4075,Park
13 Coins Restaurant Main Office,"47.61138083507285, -122.3454346592273",15 reviews,4.5,"2107 Elliott Ave #304, Seattle, WA 98121",13coins.com,(206) 382-1313,Corporate Office
13 Coins SeaTac,"47.44454323568726, -122.29356858776889","5,662 reviews",4.3,"18000 International Blvd, SeaTac, WA 98188",13coins.com,(206) 243-9500,American Restaurant
13 Coins Seattle,"47.60196428536952, -122.32927415250286","3,180 reviews",4.1,"255 S King St, Seattle, WA 98104",13coins.com,(206) 682-2513,American Restaurant
19 GOLD Taiwanese Restaurant,"47.651678353352786, -122.35046700155507",466 reviews,4.5,"3601 Fremont Ave N #101, Seattle, WA 98103",19goldseattle.com,(206) 588-0952,Taiwanese Restaurant
1900 Fifth Bar + Lounge,"47.61342602771856, -122.33815897456938",13 reviews,4.2,"Lobby Level - The Westin, 1900 5th Ave, Seattle, WA 98101",1900fifthseattle.com,(206) 728-1000,Bar
2 Fingers Social,"47.520762733419424, -122.35838475922976",229 reviews,4.6,"9211 Delridge Way SW, Seattle, WA 98106",facebook.com,Not Available,Bar
22Salon,"47.70653475194681, -122.3557287880603",19 reviews,4.4,"10535 Greenwood Ave N, Seattle, WA 98133",22salonseattle.com,(206) 417-0482,Hair Salon
32nd Avenue West Boat Launch,"47.63240106940751, -122.3986757862134",43 reviews,4.7,"32nd Ave W, Seattle, WA 98199",seattle.gov,(206) 684-4075,Park
35th North Skate Shop,"47.61436116423151, -122.3176311076538",157 reviews,4.6,"1100 E Pike St, Seattle, WA 98122",35thnorth.com,(206) 320-1252,Skate Shop
84 Yesler,"47.602090697405984, -122.33509328621432",105 reviews,4.9,"84 Yesler Way, Seattle, WA 98104",84-yesler.com,(206) 624-1111,Seafood Restaurant
8oz Burger & Co,"47.61510282919748, -122.32145372807062","1,417 reviews",4.4,"1401 Broadway, Seattle, WA 98122",8ozburgerandco.com,(206) 466-5989,Hamburger Restaurant
