topic_1_values,topic_1_words,topic_2_values,topic_2_words,topic_3_values,topic_3_words,topic_4_values,topic_4_words,topic_5_values,topic_5_words
0.05043485,clean,0.017330809,park,0.0162914,floor,0.017482527,walk,0.027037853,you’ll
0.020375973,night,0.01607447,privat,0.010671138,modern,0.017086452,park,0.022183767,furnish
0.020128727,sanit,0.013967972,walk,0.009572012,open,0.01570658,downtown,0.021878866,equip
0.019883329,cdc,0.011786512,space,0.009493431,space,0.015338675,space,0.018953001,space
0.019743428,follow,0.011724567,access,0.00896971,enjoi,0.014218077,place,0.01849391,fulli
0.016508311,guidanc,0.0096614305,street,0.008672902,comfort,0.0114431465,restaur,0.01573806,linen
0.01334992,awai,0.009591145,downtown,0.008294098,featur,0.0114157,hill,0.015339311,offer
0.013097025,provid,0.009508975,share,0.008183588,area,0.010967649,view,0.014899044,privat
0.012438714,protect,0.0089914985,floor,0.008127554,design,0.010400468,queen,0.014581682,blueground
0.012052292,safeti,0.008726136,area,0.0070557967,relax,0.010263777,minut,0.014118145,includ
0.011499948,product,0.008659565,min,0.0068999203,privat,0.008973215,center,0.013248217,amen
0.011131211,book,0.008009191,restaur,0.0068595205,view,0.008743952,pike,0.012869341,premium
0.011062321,health,0.00799377,neighborhood,0.0066981446,deck,0.008463069,needl,0.012689774,love
0.01105581,surfac,0.007958384,queen,0.0066804807,high,0.008324379,shop,0.01213098,towel
0.010933391,thoroughli,0.007951479,entranc,0.0066634608,dine,0.008111334,awai,0.011545645,you’r
0.010707689,note,0.00782625,larg,0.006618548,queen,0.007993054,market,0.0113889165,citi
0.01060037,profession,0.007640582,bu,0.0061057815,includ,0.0073643755,capitol,0.011289059,mattress
0.0105598,linen,0.0076012,coffe,0.006062075,citi,0.00728348,enjoi,0.010866672,laundri
0.010405661,wash,0.007348816,size,0.0054494557,offer,0.007278599,neighborhood,0.010105393,relax
0.010394994,properti,0.0072906422,minut,0.0054133646,size,0.0070217545,opli,0.009731689,feel
