neighborhood,lat1,lon1
BALLARD,47.69591683,-122.3870761
BEACON HILL,47.57411343,-122.3004605
CAPITOL HILL,47.63810859,-122.3239006
CASCADE,47.63059868,-122.3327667
CENTRAL AREA,47.62118015,-122.2985359
DELRIDGE,47.56521328,-122.3585381
DOWNTOWN,47.6173691,-122.3342904
INTERBAY,47.65757327,-122.3837906
LAKE CITY,47.74475579,-122.2962116
MAGNOLIA,47.65233104,-122.4014349
NORTHGATE,47.73269928,-122.3261025
QUEEN ANNE,47.64317954,-122.3569946
RAINIER VALLEY,47.55970851,-122.2788026
SEWARD PARK,47.56714324,-122.2645453
UNIVERSITY DISTRICT,47.68392231,-122.3158436
WEST SEATTLE,47.57186557,-122.3867733
