Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2022-010998,31195266446,1/14/2022 8:20,,1/14/2022 10:06,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,92XX BLOCK OF 29TH AVE SW,-122.3699834,47.52013356
2022-010993,31194936504,1/14/2022 8:32,,1/14/2022 9:32,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,B,B2,BALLARD SOUTH,4XX BLOCK OF NW 65TH ST,-122.362187,47.67599329
2022-010993,31259011679,1/14/2022 8:32,,1/14/2022 9:32,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,B,B2,BALLARD SOUTH,4XX BLOCK OF NW 65TH ST,-122.362187,47.67599329
2022-010972,31194309527,1/14/2022 8:00,,1/14/2022 8:31,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K1,DOWNTOWN COMMERCIAL,CHERRY ST / 2ND AVE,-122.3331722,47.6030194
2022-010971,31193795735,1/14/2022 0:00,,1/14/2022 7:40,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,W,Q,Q1,MAGNOLIA,42XX BLOCK OF 34TH AVE W,-122.400891,47.65849444
2022-010856,31193814482,1/14/2022 2:27,,1/14/2022 7:37,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,N,N3,BITTERLAKE,N 105TH ST / AURORA AVE N,-122.3446941,47.70505121
2022-010920,31193707816,1/14/2022 4:05,,1/14/2022 7:29,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,J,J3,ROOSEVELT/RAVENNA,72XX BLOCK OF E GREEN LAKE DR N,-122.3259684,47.68050483
2022-010965,31193684205,1/14/2022 0:00,,1/14/2022 7:28,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,Q,Q1,MAGNOLIA,42XX BLOCK OF 34TH AVE W,-122.400891,47.65849444
2022-010908,31193004217,1/14/2022 4:34,,1/14/2022 6:10,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,S,R,R1,MID BEACON HILL,39XX BLOCK OF 15TH AVE S,-122.313451,47.56811919
2022-010918,31192724760,1/14/2022 1:19,,1/14/2022 5:47,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O3,GEORGETOWN,64XX BLOCK OF FLORA AVE S,-122.3197917,47.54487245
2022-010891,31192660887,1/14/2022 4:09,,1/14/2022 5:33,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,L,L3,LAKECITY,125XX BLOCK OF LAKE CITY WAY NE,-122.2946969,47.72018507
2022-010890,31192361546,1/14/2022 4:05,,1/14/2022 5:01,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,Q,Q2,QUEEN ANNE,6XX BLOCK OF W EWING ST,-122.3680024,47.65358616
2022-010804,31191798902,1/13/2022 20:30,,1/14/2022 3:46,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,B,B1,BALLARD SOUTH,24XX BLOCK OF NW 59TH ST,-122.3888643,47.67164701
2022-010866,31191904835,1/14/2022 2:51,,1/14/2022 3:36,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,Q,Q2,QUEEN ANNE,3XX BLOCK OF W NICKERSON ST,-122.3626696,47.65123337
2022-010807,31191194600,1/14/2022 0:23,,1/14/2022 2:20,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,C,C3,MADRONA/LESCHI,17XX BLOCK OF 33RD AVE,-122.290244,47.617069
2022-010776,31192170034,1/13/2022 23:05,,1/14/2022 2:09,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,SW,F,F3,SOUTH PARK,5XX BLOCK OF S CLOVERDALE ST,-122.3268929,47.52647722
2022-010776,31191051957,1/13/2022 23:05,,1/14/2022 2:09,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SW,F,F3,SOUTH PARK,5XX BLOCK OF S CLOVERDALE ST,-122.3268929,47.52647722
2022-010739,31190448169,1/13/2022 21:54,,1/14/2022 0:47,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,M,M2,SLU/CASCADE,,0,0
2022-010122,31194800214,1/13/2022 7:53,,1/14/2022 0:12,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,3XX BLOCK OF 4TH AVE S,-122.3289663,47.59961646
2022-010743,31189396679,1/13/2022 22:02,,1/13/2022 23:57,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,L,L2,NORTHGATE,95XX BLOCK OF 1ST AVE NE,-122.3284779,47.6995476
2022-010762,31189158788,1/13/2022 22:39,,1/13/2022 23:49,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,M,M3,DOWNTOWN COMMERCIAL,13XX BLOCK OF 6TH AVE,-122.3330981,47.60965503
2022-010762,31189275051,1/13/2022 22:39,,1/13/2022 23:49,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,M,M3,DOWNTOWN COMMERCIAL,13XX BLOCK OF 6TH AVE,-122.3330981,47.60965503
2022-010738,31188474434,1/13/2022 21:54,,1/13/2022 23:35,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,4XX BLOCK OF S WASHINGTON ST,-122.3283111,47.60087439
2022-010713,31186246913,1/13/2022 21:12,,1/13/2022 22:45,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,E,E,E1,CAPITOL HILL,E OLIVE ST / BELMONT AVE,-122.3244868,47.61634793
2022-010727,31185948411,1/13/2022 21:30,,1/13/2022 22:35,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,94XX BLOCK OF 27TH AVE SW,-122.367276,47.51828947
2022-010698,31184995612,1/13/2022 20:00,,1/13/2022 22:03,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SW,W,W1,NORTH ADMIRAL,32XX BLOCK OF HARBOR AVE SW,-122.3711385,47.57542141
2022-010523,31184870748,1/13/2022 17:59,,1/13/2022 21:46,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,E,E,E3,FIRST HILL,11XX BLOCK OF MADISON ST,-122.3245839,47.60957018
2022-010675,31184016912,1/13/2022 20:19,,1/13/2022 21:10,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,Q,Q1,MAGNOLIA,40XX BLOCK OF 22ND AVE W,-122.3846995,47.65683344
2022-010682,31184040904,1/13/2022 20:15,,1/13/2022 21:09,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U3,SANDPOINT,37XX BLOCK OF NE 45TH ST,-122.2876977,47.6612516
2022-010416,31183926233,1/13/2022 14:24,,1/13/2022 21:04,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,N,B,B2,FREMONT,34XX BLOCK OF FREMONT AVE N,-122.3497912,47.65001037
2022-010494,31178634888,1/13/2022 16:05,,1/13/2022 20:05,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,Q,Q2,QUEEN ANNE,2ND AVE W / W BOSTON ST,-122.359605,47.63838341
2022-010577,31196612372,1/13/2022 17:56,,1/13/2022 19:51,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,4XX BLOCK OF S JACKSON ST,-122.3283173,47.59919591
2022-010577,31284900480,1/13/2022 17:56,,1/13/2022 19:51,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,4XX BLOCK OF S JACKSON ST,-122.3283173,47.59919591
